arquivo,dimensoes,total_correspondencias,is_compliant,is_defect,defeitos,partes_detectadas,taxa_deteccao,matches_chapéu,matches_face,matches_cabeca,matches_braco,matches_corpo,matches_maos,matches_pernas
adsyjmgvp.jpg,352x288,64,False,True,"NO_HAND, NO_LEG",5,71.42857142857143,11,3,3,32,12,2,1
agmpdjsyv.jpg,352x288,43,False,True,"NO_HAT, NO_FACE, NO_HEAD",4,57.14285714285714,3,0,0,10,11,8,11
ajgyvdsmp.jpg,352x288,24,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY, NO_LEG",2,28.57142857142857,5,0,0,16,0,3,0
ajsdmvypg.jpg,352x288,141,True,False,NENHUM,7,100.0,42,2,2,17,33,11,34
apmjvdgys.jpg,352x288,72,False,True,"NO_FACE, NO_HEAD",5,71.42857142857143,16,0,0,19,16,5,16
apsjdmgyv.jpg,352x288,26,False,True,"NO_HAT, NO_ARM, NO_HAND, NO_LEG",3,42.857142857142854,4,3,3,0,16,0,0
avdmyspjg.jpg,352x288,40,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY, NO_LEG",2,28.57142857142857,6,0,0,18,5,9,2
aymdvsgjp.jpg,352x288,39,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY, NO_LEG",2,28.57142857142857,6,0,0,13,9,10,1
damgvpyjs.jpg,352x288,114,False,True,"NO_FACE, NO_HEAD",5,71.42857142857143,21,0,0,17,22,6,48
dapysjvmg.jpg,352x288,53,False,True,"NO_FACE, NO_HEAD, NO_ARM, NO_HAND, NO_LEG",2,28.57142857142857,28,0,0,0,17,0,8
dgpmysvja.jpg,352x288,52,False,True,NO_BODY,6,85.71428571428571,17,1,1,7,3,3,20
djmygaspv.jpg,352x288,54,False,True,"NO_FACE, NO_HEAD, NO_BODY, NO_LEG",3,42.857142857142854,30,0,0,16,3,5,0
djpamsvyg.jpg,352x288,49,False,True,"NO_FACE, NO_HEAD, NO_BODY, NO_LEG",3,42.857142857142854,13,0,0,13,2,12,9
djsyamvpg.jpg,352x288,78,False,True,"NO_HAT, NO_FACE, NO_HEAD",4,57.14285714285714,7,0,0,8,36,5,22
djvmsypga.jpg,352x288,46,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY, NO_LEG",2,28.57142857142857,7,0,0,23,3,7,6
dpyagjmsv.jpg,352x288,11,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_ARM, NO_BODY, NO_HAND, NO_LEG",0,0.0,6,0,0,3,0,2,0
dsmjgpyva.jpg,352x288,44,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY, NO_LEG",2,28.57142857142857,8,0,0,24,1,11,0
dsmyjvgap.jpg,352x288,51,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY, NO_LEG",2,28.57142857142857,7,0,0,17,5,17,5
dvsgjyamp.jpg,352x288,62,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY",3,42.857142857142854,1,0,0,23,7,20,11
dyagsmjpv.jpg,352x288,101,False,True,"NO_FACE, NO_HEAD, NO_HAND",4,57.14285714285714,17,0,0,11,26,1,46
dyjmagvsp.jpg,352x288,21,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY, NO_LEG",2,28.57142857142857,3,0,0,14,0,4,0
dyjmgvpas.jpg,352x288,19,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY, NO_HAND, NO_LEG",1,14.285714285714285,2,0,0,16,0,1,0
gamdsyvpj.jpg,352x288,85,False,True,"NO_HAT, NO_FACE",5,71.42857142857143,9,0,2,40,10,10,14
gamysvpjd.jpg,352x288,89,False,True,NO_LEG,6,85.71428571428571,12,3,4,36,12,18,4
gavdysmpj.jpg,352x288,79,False,True,NO_HAND,6,85.71428571428571,25,1,1,7,34,0,11
gayjdmsvp.jpg,352x288,88,False,True,"NO_FACE, NO_HEAD",5,71.42857142857143,19,0,0,23,21,10,15
gdayvspjm.jpg,352x288,80,False,True,"NO_FACE, NO_HEAD, NO_LEG",4,57.14285714285714,17,0,0,28,25,3,7
gdpasmyjv.jpg,352x288,99,False,True,"NO_FACE, NO_HEAD",5,71.42857142857143,35,0,0,26,19,8,11
gjamydvps.jpg,352x288,118,True,False,NENHUM,7,100.0,24,2,2,17,27,9,37
gjaydmpvs.jpg,352x288,104,False,True,"NO_FACE, NO_HEAD",5,71.42857142857143,22,0,0,28,21,17,16
